Index,Permutaion,MAE,MSE,RMSE
209,"(12, 10, 12, 6, 12)",11.188,199.5789,14.1272
210,"(12, 10, 12, 10, 6)",10.6391,185.3308,13.6136
211,"(12, 10, 12, 10, 10)",10.2331,165.7519,12.8745
212,"(12, 10, 12, 10, 12)",10.6165,171.6692,13.1023
213,"(12, 10, 12, 12, 6)",10.1504,169.5188,13.0199
214,"(12, 10, 12, 12, 10)",9.9774,156.218,12.4987
215,"(12, 10, 12, 12, 12)",10.1053,161.5789,12.7114
216,"(12, 12, 6, 6, 6)",11.3684,212.9474,14.5927
217,"(12, 12, 6, 6, 10)",10.8271,182.9774,13.5269
218,"(12, 12, 6, 6, 12)",11.0075,184.9173,13.5984
219,"(12, 12, 6, 10, 6)",10.3684,173.391,13.1678
220,"(12, 12, 6, 10, 10)",9.9323,163.5865,12.7901
221,"(12, 12, 6, 10, 12)",10.188,164.1729,12.813
222,"(12, 12, 6, 12, 6)",9.8647,159.188,12.617
223,"(12, 12, 6, 12, 10)",9.5113,147.8872,12.1609
224,"(12, 12, 6, 12, 12)",9.7744,149.8045,12.2395
225,"(12, 12, 10, 6, 6)",11.5263,223.0902,14.9362
226,"(12, 12, 10, 6, 10)",11.1729,197.8947,14.0675
227,"(12, 12, 10, 6, 12)",11.406,200.9699,14.1764
228,"(12, 12, 10, 10, 6)",10.3383,172.3684,13.1289
229,"(12, 12, 10, 10, 10)",10.0977,164.2481,12.8159
230,"(12, 12, 10, 10, 12)",10.3233,162.985,12.7666
231,"(12, 12, 10, 12, 6)",9.8571,158.5038,12.5898
232,"(12, 12, 10, 12, 10)",9.6917,146.0827,12.0865
233,"(12, 12, 10, 12, 12)",9.6316,147.4361,12.1423
234,"(12, 12, 12, 6, 6)",11.2782,213.3985,14.6082
235,"(12, 12, 12, 6, 10)",10.7444,179.4812,13.3971
236,"(12, 12, 12, 6, 12)",11.2632,194.9624,13.9629
237,"(12, 12, 12, 10, 6)",10.5489,180.0827,13.4195
238,"(12, 12, 12, 10, 10)",10.2556,168.8571,12.9945
239,"(12, 12, 12, 10, 12)",10.4737,169.0,13.0
240,"(12, 12, 12, 12, 6)",9.9549,165.6992,12.8724
241,"(12, 12, 12, 12, 10)",9.6767,148.4135,12.1825
242,"(12, 12, 12, 12, 12)",9.7368,150.0977,12.2514
